,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
0,A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA,31.07B,44.25,97.93,2.93%,"953,556"
1,AA,Alcoa Corporation,Basic Materials,Aluminum,USA,2.59B,-,14.10,-0.91%,"3,082,002"
2,AAAU,Perth Mint Physical Gold ETF,Financial,Exchange Traded Fund,USA,-,-,19.42,0.88%,"454,169"
3,AACG,ATA Creativity Global,Consumer Defensive,Education & Training Services,China,34.88M,-,1.09,-4.39%,"9,943"
4,AACQU,Artius Acquisition Inc.,Financial,Shell Companies,USA,-,-,10.47,0.87%,"250,226"
5,AADR,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,-,-,55.90,2.83%,"2,289"
6,AAL,American Airlines Group Inc.,Industrials,Airlines,USA,6.51B,-,13.05,-4.26%,"78,782,173"
7,AAMC,Altisource Asset Management Corporation,Financial,Asset Management,USA,34.23M,-,21.80,3.81%,"27,498"
8,AAME,Atlantic American Corporation,Financial,Insurance - Life,USA,39.69M,-,1.96,-4.39%,"2,470"
9,AAN,"Aaron's, Inc.",Industrials,Rental & Leasing Services,USA,3.77B,-,55.15,-0.25%,"463,040"
10,AAOI,"Applied Optoelectronics, Inc.",Technology,Semiconductors,USA,242.79M,-,10.24,3.02%,"594,903"
11,AAON,"AAON, Inc.",Industrials,Building Products & Equipment,USA,2.94B,42.15,55.64,0.25%,"157,163"
12,AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,10.77B,23.76,154.35,1.73%,"715,255"
13,AAPL,Apple Inc.,Technology,Consumer Electronics,USA,2005.14B,35.67,117.32,3.99%,"175,632,748"
14,AAT,"American Assets Trust, Inc.",Real Estate,REIT - Diversified,USA,1.51B,33.20,25.30,-2.39%,"222,788"
15,AAU,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,78.52M,-,0.69,1.21%,"331,528"
16,AAWW,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,USA,1.44B,-,55.58,3.35%,"546,893"
17,AAXJ,iShares MSCI All Country Asia ex Japan ETF,Financial,Exchange Traded Fund,USA,-,-,76.98,1.29%,"938,666"
18,AAXN,"Axon Enterprise, Inc.",Industrials,Aerospace & Defense,USA,5.53B,-,85.24,4.78%,"592,834"
19,AB,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,2.64B,10.15,27.18,0.74%,"418,946"
